set	status	n_samples	generator_script	base_seed	design_rng	per_sample_rng	per_sample_seed_recorded	notes
set_C_clean	retained (primary)	1000	scripts/73_generate_clean_cd_benchmarks.py	7300000	np.random.default_rng(7300000)  -> 1000 target completeness ~U[0.50,1.00), 1000 target contamination ~U[0,100)	np.random.default_rng(7300000 + 1000*ref_index + replicate)	YES — column `seed` of generation_metadata.tsv	100 test-split Patescibacteriota references x 10 simulations. Reference draw: np.random.default_rng(7001).choice(n, 100, replace=False) over candidates sorted by gtdb_accession.
set_D_clean	retained (primary)	1000	scripts/73_generate_clean_cd_benchmarks.py	7400000	np.random.default_rng(7400000)  -> 1000 target completeness ~U[0.50,1.00), 1000 target contamination ~U[0,100)	np.random.default_rng(7400000 + 1000*ref_index + replicate)	YES — column `seed` of generation_metadata.tsv	100 test-split archaeal references x 10 simulations. Reference draw: np.random.default_rng(7002).choice(n, 100, replace=False) over candidates sorted by gtdb_accession.
set_A_v2	retained (primary)	1000	scripts/34_generate_finished_benchmarks.py::generate_completeness_set	300	np.random.default_rng(300 + int(completeness*1000)) per completeness level	np.random.default_rng(300 + idx)	DERIVABLE — 300 + row index of metadata.tsv	Completeness gradient, 0 % contamination; dominants are finished (Complete Genome / Chromosome) test-split genomes.
set_B_v2	retained (primary)	1000	scripts/34_generate_finished_benchmarks.py::generate_contamination_set	400	np.random.default_rng(400 + contamination + 5000) per contamination level	np.random.default_rng(400 + idx)	DERIVABLE — 400 + row index of metadata.tsv	Contamination gradient at 100 % completeness.
set_E	retained (primary)	1000	scripts/34_generate_finished_benchmarks.py::generate_set_e	500	np.random.default_rng(500)	np.random.default_rng(500 + idx)	DERIVABLE — 500 + row index of metadata.tsv	Uniform completeness x contamination. Predates the contaminant_bp <= dominant_retained_bp cap (added 2026-03-14, commit c5a9b95), so 132/1000 samples have contamination% > completeness% and lie outside the V5 training domain; see protocol section 4.4a.
motivating_v2/set_A	retained (secondary)	1000	scripts/34_generate_finished_benchmarks.py::generate_completeness_set	100	np.random.default_rng(100 + int(completeness*1000))	np.random.default_rng(100 + idx)	DERIVABLE — 100 + row index of metadata.tsv	Motivating completeness gradient.
motivating_v2/set_B	retained (secondary)	1000	scripts/34_generate_finished_benchmarks.py::generate_contamination_set	200	np.random.default_rng(200 + contamination + 5000)	np.random.default_rng(200 + idx)	DERIVABLE — 200 + row index of metadata.tsv	Motivating contamination gradient.
motivating_v2/set_C	retained (secondary)	1000	scripts/41_generate_motivating_set_c.py	300	np.random.default_rng(300)	np.random.default_rng(300 + idx)	DERIVABLE — 300 + row index of metadata.tsv	Non-redundant contamination emphasis. Also predates the contamination cap (122/1000 out-of-domain samples).
motivating/set_A	retained (legacy, superseded by motivating_v2)	600	scripts/31_motivating_benchmark_generate.py	12345	np.random.default_rng(12345 + int(completeness*1000) + 7777)	np.random.default_rng(12345 + idx + 500000)	DERIVABLE — 12345 + row index + 500000	Superseded by motivating_v2/set_A (finished-genome dominants).
motivating/set_B	retained (legacy, superseded by motivating_v2)	1100	scripts/31_motivating_benchmark_generate.py	12345	np.random.default_rng(12345 + contamination + 9999)	np.random.default_rng(12345 + idx + 600000)	DERIVABLE — 12345 + row index + 600000	Superseded by motivating_v2/set_B.
set_A	retained (legacy, superseded by set_A_v2)	600	scripts/25_benchmark_generate.py::generate_set_a	42	np.random.default_rng(42 + int(completeness*1000))	np.random.default_rng(42 + idx + 100000)	DERIVABLE — 42 + row index + 100000	Superseded by set_A_v2.
set_B	retained (legacy, superseded by set_B_v2)	600	scripts/25_benchmark_generate.py::generate_set_b	42	np.random.default_rng(42 + contamination + 5000)	np.random.default_rng(42 + idx + 200000)	DERIVABLE — 42 + row index + 200000	Superseded by set_B_v2.
set_C	WITHDRAWN — training-data leakage	1000	scripts/25_benchmark_generate.py::generate_set_c	42	np.random.default_rng(42 + 300000)	np.random.default_rng(42 + idx + 300000)	DERIVABLE — 42 + row index + 300000	WITHDRAWN. 1000/1000 dominants are TRAIN-split genomes. Replaced by set_C_clean. Released only so the leakage is auditable.
set_D	WITHDRAWN — training-data leakage	1000	scripts/25_benchmark_generate.py::generate_set_d	42	np.random.default_rng(42 + 400000)	np.random.default_rng(42 + idx + 400000)	DERIVABLE — 42 + row index + 400000	WITHDRAWN. 796 TRAIN / 107 VAL / 97 TEST dominants. Replaced by set_D_clean.
