public_path	logical_workspace_path	previous_sha256	current_sha256	current_snapshot_path	historical_commit
motivating/set_A/cocopye_predictions.tsv	data/benchmarks/motivating_v2/set_A/cocopye_predictions.tsv	92b9a162bdd6c33646e34584baadcc1272cd8a4318d4a9e73813367eaaeabe45	0860984c23589c137793fa958e94ab2d51cb89204813f7f2c8ab687ee8f72465	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating_v2/set_A/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
motivating/set_B/cocopye_predictions.tsv	data/benchmarks/motivating_v2/set_B/cocopye_predictions.tsv	e4b896d53ab133d52063ee617e3418f5eedcbbf51c7a8e48573d1205f091072d	b81649e43df34bf89045a8b0381b3392214533f8e11f073e5ae38c87312cb9b7	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating_v2/set_B/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
motivating/set_C/cocopye_predictions.tsv	data/benchmarks/motivating_v2/set_C/cocopye_predictions.tsv	2d50b4fbf4bab34cf5344099786bdf65f285e1bb92c878b32e02ada8ae00b5ab	8977a8c8abeb39a3fea2e4050e16064826f6eb73f9fa2d309116eaf5f902f81a	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating_v2/set_C/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
benchmark/set_A/cocopye_predictions.tsv	data/benchmarks/set_A_v2/cocopye_predictions.tsv	f8aeb75c74bbf9b9e5f831bc3c22949dab2ba5c4aebdf39e6c3d29097b204cf6	bb14868348838ae3bfc5fb29e74e4c37c323ab691a405a49d10fa3afd3094235	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_A_v2/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
benchmark/set_B/cocopye_predictions.tsv	data/benchmarks/set_B_v2/cocopye_predictions.tsv	f08f3c4966eba4fbfab51b69e76ac90d648f0915dee333d63ea46552c05a126e	c6d503ae54283a59c77c3906b04fa568cbf25161b84188651a34c57e56ac2bc6	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_B_v2/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
benchmark/set_C_clean/cocopye_predictions.tsv	data/benchmarks/set_C_clean/cocopye_predictions.tsv	413135617ba9ce8a9e4a89f689e4bb84c31fbef3271f192e20096ecc8a21f9cd	a73294b9da70503dedf2699568d56f021f207a6cb71d1094305011e95e7930c6	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_C_clean/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
benchmark/set_D_clean/cocopye_predictions.tsv	data/benchmarks/set_D_clean/cocopye_predictions.tsv	61d46fddbfbfbab8c2808c1572a33a0f1e6daf8167eedaeb61c8727226361139	824377a66ba1a7fe79f8cf126d0559ff8b28aef4b5f37d2fc353bdc949b92e45	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_D_clean/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
benchmark/set_E/cocopye_predictions.tsv	data/benchmarks/set_E/cocopye_predictions.tsv	9090b8dd48e008b4823fec94d7787623468a459f82822a73eb9af8dbcf407772	696374cdd9bda088d2aa57378681b16205bd8cf4c0fdc87f1862b370c0878e12	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_E/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
benchmark/set_F/cocopye_predictions.tsv	data/benchmarks/set_F/cocopye_predictions.tsv	7f2c3758db369d05aeff5a88400ae171bb5a89cefbdefcf4feeaaceef00ccf7a	65b4f60560a9a8558c8b074f3c73635090f0108b9ec24b5103c06e684266bd7a	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_F/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
benchmark/set_G/cocopye_predictions.tsv	data/benchmarks/set_G/cocopye_predictions.tsv	65aaa037feb9afdf13ab275c9b6ceaa8d321b8cdb23415d33fe84c8dde84fe27	b6d0b50805cba752f515b974606cc3d0f18e0b71f07af5f17716ce228be1ae3d	snapshot/results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_G/cocopye_predictions.tsv	c051b3d8383b560f34942e24ea4cbfe154f079c4
