logical_path	path	sha256	reason
data/benchmarks/motivating/set_A/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating/set_A/cocopye_predictions.tsv	7f77bee72d44465914e88208b4d2db0d0c13b34f53dadaddd418d2092c340650	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/motivating/set_B/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating/set_B/cocopye_predictions.tsv	21124283989645689ba82a59c4d5fea26546bc8346975cf10f43245ccf2ac39e	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/motivating_v2/set_A/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating_v2/set_A/cocopye_predictions.tsv	0860984c23589c137793fa958e94ab2d51cb89204813f7f2c8ab687ee8f72465	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/motivating_v2/set_B/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating_v2/set_B/cocopye_predictions.tsv	b81649e43df34bf89045a8b0381b3392214533f8e11f073e5ae38c87312cb9b7	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/motivating_v2/set_C/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/motivating_v2/set_C/cocopye_predictions.tsv	8977a8c8abeb39a3fea2e4050e16064826f6eb73f9fa2d309116eaf5f902f81a	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_A/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_A/cocopye_predictions.tsv	0154a47988f51cec2e2406c64ee65844d2685eb5f8fab9c23a7d3a30538a02c3	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_A_v2/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_A_v2/cocopye_predictions.tsv	bb14868348838ae3bfc5fb29e74e4c37c323ab691a405a49d10fa3afd3094235	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_B/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_B/cocopye_predictions.tsv	76d34aa1cf3326d10028e0596fb78b5089212c4621597d9388056927a255a6ed	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_B_v2/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_B_v2/cocopye_predictions.tsv	c6d503ae54283a59c77c3906b04fa568cbf25161b84188651a34c57e56ac2bc6	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_C/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_C/cocopye_predictions.tsv	cd50969da4daee2fc896d1319c3558580028b547d310b2ece69dd3bd6144788c	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_C_clean/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_C_clean/cocopye_predictions.tsv	a73294b9da70503dedf2699568d56f021f207a6cb71d1094305011e95e7930c6	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_D/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_D/cocopye_predictions.tsv	5ad21a02a19e7c0bab7142ed543a575e4e2047a01e87800c89514e485e6f2c21	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_D_clean/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_D_clean/cocopye_predictions.tsv	824377a66ba1a7fe79f8cf126d0559ff8b28aef4b5f37d2fc353bdc949b92e45	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_E/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_E/cocopye_predictions.tsv	696374cdd9bda088d2aa57378681b16205bd8cf4c0fdc87f1862b370c0878e12	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_F/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_F/cocopye_predictions.tsv	65b4f60560a9a8558c8b074f3c73635090f0108b9ec24b5103c06e684266bd7a	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_G/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_G/cocopye_predictions.tsv	b6d0b50805cba752f515b974606cc3d0f18e0b71f07af5f17716ce228be1ae3d	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_H_ncbi/cocopye_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_H_ncbi/cocopye_predictions.tsv	da4b518944008845a6f82c263a3d709974f3b2418c2443968e083f64c6837818	Official selected-stage prediction table; stage1 quantitatively unscored
data/benchmarks/set_H_ncbi/reference_level_cocopye_selected.tsv	results/revision/cocopye_stage_resubmission5/replay/data/benchmarks/set_H_ncbi/reference_level_cocopye_selected.tsv	0ba19302c8a6f9a019391df016f4d222072c0192de736000a117d71ea6e247e2	Official selected-stage prediction table; stage1 quantitatively unscored
results/revision/cami2/analysis/cami2_accuracy_by_cohort.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_accuracy_by_cohort.tsv	b902797c4b8ebea641287c993d7e6e175148a4beda578485f416f975a2b2bacc	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_censoring.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_censoring.tsv	494284ab663c76b56d1b068f97cd92bf7240b4dd660c93fd77ac306ebad6c5ef	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_detection_slopes.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_detection_slopes.tsv	cd8fa7cc18b8550b7802d80f52cbee0011654963ef04024894ae59539c5277e6	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_domain_restriction.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_domain_restriction.tsv	078731a54cd74a9b7d2e0c97b9ac51a1d87c3ee57bf43414a8a39bfcfc725cb8	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_gold_by_completeness_decile.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_gold_by_completeness_decile.tsv	e115b738eda40c14f20faae32c11cd3ab9e36851b4e6a74e580bcbb46619c400	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_headline.json	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_headline.json	1bfb2eb26a022a6283188b3c5aa59fed309655d1de5085689b7883b5d9250613	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_long_predictions.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_long_predictions.tsv	8ab6aced61905404f45c4b0149ff8e3015ba09d73ef6ff4347e0882240b18b4c	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_mimag.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_mimag.tsv	4a3effca42372718c4687748c948ba63cc3192a2d3bacb7f768f5c1c6e26c96a	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
results/revision/cami2/analysis/cami2_mixed_by_distance.tsv	results/revision/cocopye_stage_resubmission5/replay/results/revision/cami2/analysis/cami2_mixed_by_distance.tsv	a1129a9572274c7de216172166dfd9d95278f62fc00a65ff20c9b4d5eecfb2f5	Recomputed corrected predictions/statistics, or explicit cohort/definition correction
