path	sha256	bytes
nature_communications/resubmission5/scripts/27_integrate_motivating_correction.py	2e0dcb7e447f32f7c0dac6491f4b3289756f736efb67029226714e89c621a702	8377
nature_communications/resubmission5/scripts/build_source_data.py	1f86bd31d48886d00014951515aede568b88bb816d467c015e11998709cc8b53	82849
nature_communications/resubmission5/scripts/corrected_sources.py	1f33892d4d97b2dd6ce7fc95aec41e7d6e7f7a044c9e8e997e17833c15fb4cdc	3429
nature_communications/resubmission5/scripts/figledger.py	e43e3a9c6d1ad026166fad10fe9a43e018b3a7525953075d619a80607803bfad	16175
nature_communications/resubmission5/scripts/figstyle.py	245b6bcc19251b9bedc63d393dd03b21aff8769858b91311974fd864f980e5cc	21494
nature_communications/resubmission5/scripts/figvalues.py	dd1b3b6a645ff38acafe963972d27bfd8b683ced8727e938d71ec5fa78e90484	2196
nature_communications/resubmission5/scripts/make_figure_4.py	cecd9af71a997ae1208feb74ee148719c1f5ef7330b6694fe26963978af58a04	7407
nature_communications/resubmission5/scripts/make_figure_5.py	50dbe0ad721e779fbd4c7a4f83dc2ffc2755084701fe90184ce1dbcd8d4a1069	5107
nature_communications/resubmission5/scripts/make_figures_1_3.py	a47e4ad9e9785a7400fc7702c49efa1b8d3b4e6e260996efe52cf85d89f41a1d	69303
nature_communications/resubmission5/scripts/make_palette_cvd_check.py	205507075b773c530d9f3036a1ae9a7557d7fbebac061f436f72a892a35deecb	26608
nature_communications/resubmission5/scripts/make_supp_figures.py	acdd5ee00b9a79074b72c88475804989aca4ed5f1d15ad152cc53f449af27d72	124858
nature_communications/resubmission5/scripts/panels_realdata.py	05e47042db5591a7bb58ecccaa792bddd8f46923236d9982bec5aafb9eb41c35	49724
nature_communications/resubmission5/scripts/panels_taxonomy.py	2bcb621da8ec7b4aa95d34786d7c6f551f85d1bb9348e8f18f9a01339e064d14	39191
nature_communications/resubmission5/scripts/panels_timing_current.py	705a8dabea1e8b078138415425165d8847927eb0ac8a6d81afc1fb852de8bad0	2848
nature_communications/resubmission5/scripts/sync_canonical_captions.py	b2a16e5d285f20608723c7fe65581dcddaaf52fd888c4176f0699316786e3170	3359
results/revision/cocopye_stage_resubmission5/CORRECTION_REPORT.md	3ffb4f5fa5ac11294c8f9d8e33812ebc5d3d266501d8b23d5872025c2144c22f	7834
results/revision/cocopye_stage_resubmission5/affected_cohort_inventory.tsv	f658b271337ced5dd4178633f556f25880aa2eb67b8145127362ec22192c5395	9407
results/revision/cocopye_stage_resubmission5/analysis_status/102.json	b36e1bcedd4cabc8485c81fa74a9c77399093c755aabfecada885e8b6c564228	1431
results/revision/cocopye_stage_resubmission5/analysis_status/103.json	7801dc7c9ef55d2e07bf52312db3d9dffe4948c3f7fd84496fbba35ded75283b	1050
results/revision/cocopye_stage_resubmission5/analysis_status/104.json	551a0b94fd00503157d80cc51c5058c4f79ab07225cdb7349563daea694eb71b	1289
results/revision/cocopye_stage_resubmission5/analysis_status/106.json	74a74e293a229c930c8b80c0889ef5b3162dfe3873001ffe4c27aeaa9b058fde	1145
results/revision/cocopye_stage_resubmission5/analysis_status/108.json	a8314a8a0a58718744cac6c4f6ed7370d5084a3e653e58bf635707435d8f0323	1551
results/revision/cocopye_stage_resubmission5/analysis_status/143m.json	322f76a940f4216151d2b7c498b66dc286b04dedba168628b37d8113f1cf9ac4	1691
results/revision/cocopye_stage_resubmission5/analysis_status/143n.json	0295ca1daafdd43d56dda4ae9c5dbe1afd5e7cf399d92db3cceb2bd29aa76dc4	1219
results/revision/cocopye_stage_resubmission5/analysis_status/143z.json	d696391cc4addd07eff584704e7cb7ce5a2c1a97cd0afa908952cc919944ad04	993
results/revision/cocopye_stage_resubmission5/analysis_status/144.json	ab43cdb50a47405e6dc6bd3880f61aa5eef582eb1f7572ed3fde4b34058fc5ea	959
results/revision/cocopye_stage_resubmission5/analysis_status/147.json	5fb66ff6a3dfe66ebafa35fbc2f15a542ef2c4a0431349a2a691e3c301fab8b2	1410
results/revision/cocopye_stage_resubmission5/analysis_status/153.json	95cde600ff3f17099f3884178f2aa32848692f4def8b0456f4c469406bb7bd20	1438
results/revision/cocopye_stage_resubmission5/analysis_status/191.json	b42028d2efb2a630ebd44730dcbb8f476bd2e7b597092b3b5e8fcd542e86145d	1184
results/revision/cocopye_stage_resubmission5/analysis_status/192.json	c1bbec18f9f072fe825ac6c9bc3a9e4012695ba2726ea02aa1d195f3bb47466b	1011
results/revision/cocopye_stage_resubmission5/analysis_status/201.json	c79bceab6fb6573ca218ea94c7767d270400a15553a275291bffa1c36f29c4d3	1423
results/revision/cocopye_stage_resubmission5/analysis_status/204.json	ffb86ea6be4b339ef513ed8b1bcdd6f34ec209c734c6ef293b53b67714f89890	976
results/revision/cocopye_stage_resubmission5/analysis_status/205.json	e8be6be7e357cd7988574db3997dbfbea5ba19c226b02deaf842d88139a2e8b9	1002
