set	directory	listed_in_config	present	status	tier	label	design	n_genomes	n_clusters_dominant_accession	max_cluster_size	tools_available	tools_missing	dominant_split_counts	dominant_domain_counts	n_phyla	relatedness_counts	true_completeness_min	true_completeness_max	true_completeness_var	true_contamination_min	true_contamination_max	true_contamination_var	true_mimag_counts	labels_npy_max_abs_diff	note
set_A_v2	data/benchmarks/set_A_v2	True	True	current	primary	Set A (completeness gradient, 0% contamination)	1,000 NCBI finished test-split dominants; completeness 50-100%; no contaminants	1000	798	5	magicc_v5,magicc_v4,magicc_v3,checkm2,cocopye,deepcheck		"{""test"": 1000}"	"{""Bacteria"": 967, ""Archaea"": 33}"	31	"{""none (uncontaminated)"": 1000}"	50.073	100.0	288.456827	0.0	0.0	0.0	"{""medium"": 724, ""high"": 276}"	3.8123938423950676e-06	
set_B_v2	data/benchmarks/set_B_v2	True	True	current	primary	Set B (contamination gradient, 100% completeness)	1,000 NCBI finished test-split dominants at 100% completeness; cross-phylum contamination 0-80%	1000	803	4	magicc_v5,magicc_v4,magicc_v3,checkm2,cocopye,deepcheck		"{""test"": 1000}"	"{""Bacteria"": 970, ""Archaea"": 30}"	30	"{""cross_phylum"": 800, ""none (uncontaminated)"": 200}"	100.0	100.0	0.0	0.0	80.0	773.240537	"{""low"": 798, ""high"": 200, ""medium"": 2}"	3.8062938045868577e-06	
set_C	data/benchmarks/set_C	True	True	superseded_leaky	reported	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	1,000 Patescibacteriota dominants drawn from train+val+test; completeness 50-100%, cross-phylum contamination 0-100%	1000	1000	1	magicc_v5,magicc_v4,magicc_v3,checkm2,cocopye,deepcheck		"{""train"": 1000}"	"{""Bacteria"": 1000}"	1	"{""cross_phylum"": 998, ""none (uncontaminated)"": 2}"	50.0015	100.0	267.988301	0.0	99.8823	836.537797	"{""low"": 883, ""medium"": 83, ""high"": 34}"	3.8091750838020744e-06	SUPERSEDED - training-set leakage
set_D	data/benchmarks/set_D	True	True	superseded_leaky	reported	Set D (Archaea) - SUPERSEDED (training leakage)	1,000 archaeal dominants drawn from train+val+test; completeness 50-100%, cross-phylum contamination 0-100%	1000	1000	1	magicc_v5,magicc_v4,magicc_v3,checkm2,cocopye,deepcheck		"{""train"": 796, ""val"": 107, ""test"": 97}"	"{""Archaea"": 1000}"	11	"{""cross_phylum"": 999, ""none (uncontaminated)"": 1}"	50.0814	100.0	237.466396	0.0	99.4291	836.832798	"{""low"": 886, ""medium"": 103, ""high"": 11}"	3.814534892399024e-06	SUPERSEDED - training-set leakage
set_E	data/benchmarks/set_E	True	True	current	primary	Set E (realistic mixture)	1,000 NCBI finished test-split dominants; 200 pure + 200 complete + 600 mixed (70% cross-/30% within-phylum)	1000	785	4	magicc_v5,magicc_v4,magicc_v3,checkm2,cocopye,deepcheck		"{""test"": 1000}"	"{""Bacteria"": 980, ""Archaea"": 20}"	31	"{""cross_phylum"": 557, ""within_phylum"": 242, ""none (uncontaminated)"": 201}"	50.2236	100.0	270.83367	0.0	99.9184	1085.876981	"{""low"": 719, ""medium"": 215, ""high"": 66}"	3.8066341687681415e-06	
set_C_clean	data/benchmarks/set_C_clean	True	True	current	primary	Set C-clean (Patescibacteriota, held-out test split)	100 test-split Patescibacteriota references x 10 simulations; completeness 50-100%, cross-phylum contamination 0-100% from test split only	1000	100	10	magicc_v5,checkm2,cocopye,deepcheck	magicc_v4,magicc_v3	"{""test"": 1000}"	"{""Bacteria"": 1000}"	1	"{""cross_phylum"": 998, ""none (uncontaminated)"": 2}"	50.0002	100.0	263.353991	0.0	99.4838	661.375603	"{""low"": 900, ""medium"": 70, ""high"": 30}"	3.8095703160934136e-06	
set_D_clean	data/benchmarks/set_D_clean	True	True	current	primary	Set D-clean (Archaea, held-out test split)	100 test-split archaeal references x 10 simulations; cross-phylum contamination 0-100% from test split only	1000	100	10	magicc_v5,checkm2,cocopye,deepcheck	magicc_v4,magicc_v3	"{""test"": 1000}"	"{""Archaea"": 1000}"	6	"{""cross_phylum"": 1000}"	50.2292	100.0	235.085099	0.0622	99.88	610.342209	"{""low"": 887, ""medium"": 100, ""high"": 13}"	3.795898436464995e-06	
set_A	data/benchmarks/set_A	True	True	legacy_superseded	secondary	Set A v1 (superseded by Set A v2)	600 genomes, completeness gradient; replaced by set_A_v2	600	582	2	magicc_v5,magicc_v3,checkm2,cocopye,deepcheck	magicc_v4	"{""test"": 600}"	"{""Bacteria"": 591, ""Archaea"": 9}"	28	"{""none (uncontaminated)"": 600}"	50.0103	100.0	298.906648	0.0	0.0	0.0	"{""medium"": 418, ""high"": 182}"	3.7841174389541266e-06	
set_B	data/benchmarks/set_B	True	True	legacy_superseded	secondary	Set B v1 (superseded by Set B v2)	600 genomes, contamination gradient; replaced by set_B_v2	600	588	3	magicc_v5,magicc_v3,checkm2,cocopye,deepcheck	magicc_v4	"{""test"": 600}"	"{""Bacteria"": 590, ""Archaea"": 10}"	31	"{""cross_phylum"": 500, ""none (uncontaminated)"": 100}"	100.0	100.0	0.0	0.0	80.0	771.875726	"{""low"": 402, ""high"": 103, ""medium"": 95}"	3.807749919815251e-06	
motivating_v2_set_A	data/benchmarks/motivating_v2/set_A	True	True	motivating	secondary	Motivating Set A (Table S1a): completeness gradient	1,000 finished test-split dominants, completeness gradient; existing tools only in the manuscript	1000	806	3	magicc_v5,checkm2,cocopye,deepcheck	magicc_v4,magicc_v3	"{""test"": 1000}"	"{""Bacteria"": 962, ""Archaea"": 38}"	31	"{""none (uncontaminated)"": 1000}"	50.0077	100.0	287.06792	0.0	0.0	0.0	"{""medium"": 712, ""high"": 288}"	3.806032282227534e-06	
