dataset	tool	distance_rank	n	n_clusters	filter	note	denominator	bootstrap_iterations	seed	cluster_definition	cont_bias	cont_bias_lo	cont_bias_hi	cont_mae	cont_mae_lo	cont_mae_hi	slope	slope_lo	slope_hi
marine	CheckM2	class	155	89	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	2425793379	Dominant source reference within dataset	-5.795426014269019	-6.620601823398334	-4.929198316924665	6.402118331362549	5.677916147161057	7.120947573801754	0.2643936770963974	0.1943938976081078	0.3322190292685114
marine	CheckM2	family	165	85	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	482624327	Dominant source reference within dataset	-5.012213607498995	-5.972084975373192	-4.130062946450781	5.7950022783589965	5.047794940220007	6.6102357469454756	0.3007344627327653	0.2038073235973309	0.39265269978740414
marine	CheckM2	genus	143	74	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	1545908626	Dominant source reference within dataset	-4.309408499912093	-5.22335305217086	-3.4081566940394157	5.10756871389684	4.330505444718275	5.912936016579868	0.3922189432687733	0.30917522237440187	0.48513585333582987
marine	CheckM2	order	137	69	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	2553819488	Dominant source reference within dataset	-4.530212958220631	-5.524900171654778	-3.5369857274920022	5.377298635279773	4.531742036059839	6.227123802627724	0.3575611045698805	0.24701817842139273	0.4770643471266245
marine	CheckM2	phylum	164	95	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	2628783830	Dominant source reference within dataset	-5.56910945070778	-6.433892473840536	-4.679635700203369	6.252073956948706	5.492117829023577	7.021177224560918	0.2224893256128659	0.1475260814685326	0.315213289817729
marine	CheckM2	species	69	34	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	2853313420	Dominant source reference within dataset	-3.0893869911325846	-4.588535288456294	-1.6401738363346727	4.438419160812326	3.3226528086544573	5.6842184552667305	0.4593209878744245	0.2763714334376198	0.6653895462235047
marine	CoCoPyE	class	155	89	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	217401803	Dominant source reference within dataset	17.8702236591306	15.185313885634107	20.68563471303772	18.020550420956457	15.364245414429057	20.76966626986835	1.2337788367455307	0.8877334797385642	1.5877941173920105
marine	CoCoPyE	family	165	85	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	3756435780	Dominant source reference within dataset	18.73874571129859	15.625722806831908	22.115698772910516	19.3774359188867	16.49190985513587	22.53128280879258	1.4546198054423607	1.0821992649367103	1.8508926198959266
marine	CoCoPyE	genus	143	74	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	3749925658	Dominant source reference within dataset	18.646435980364508	15.95930674832548	21.672219243224077	18.752740560517914	16.154312874357952	21.741087036937717	1.447325941537811	1.0814426165743147	1.8552280994591865
marine	CoCoPyE	order	137	69	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	349687752	Dominant source reference within dataset	13.785266635326295	11.628913996535523	16.407092269165844	14.09585367262213	11.960882240181101	16.682155822114428	1.2582644770203204	0.9784095445688302	1.5799946059989385
marine	CoCoPyE	phylum	164	95	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	1601807605	Dominant source reference within dataset	16.202631653358235	13.952247612600212	18.714561163702687	16.57079072887086	14.44864760530612	18.940273098376643	1.2410776957130625	0.9395514677512574	1.5626396504613522
marine	CoCoPyE	species	69	34	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	642182895	Dominant source reference within dataset	18.893400180332762	15.053386220981332	23.267717243252086	19.00201477674043	15.226724299304152	23.35817995055089	1.4826714921578328	0.8422704227485056	2.056120867583876
marine	DeepCheck	class	155	89	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	1085158820	Dominant source reference within dataset	-6.306142400917936	-7.217708567436658	-5.351578205798108	6.873330317383085	6.048247860610102	7.690442676610897	0.1999173534438251	0.14677487315839666	0.2524748083815401
marine	DeepCheck	family	165	85	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	445102028	Dominant source reference within dataset	-5.633300690705026	-6.561900721618918	-4.74917813442824	6.169215332383868	5.3741146534427084	6.958327918640755	0.28820553562954354	0.21022256395423253	0.3682917875580801
marine	DeepCheck	genus	143	74	realised contamination <= 1.5 x target; training-overlap-screened, in-domain, completeness >=50%, scored by all four tools	Truth-based dose sensitivity. Exact realized truth is retained; stage-1 unscored CoCoPyE rows are excluded from the shared quantitative cohort and counted in coverage.	Both truth percentages use full dominant-reference bp as denominator.	2000	3962318677	Dominant source reference within dataset	-5.060582269014324	-6.084683467359806	-4.145589850228522	5.585545653031968	4.754615985658985	6.51124211467315	0.3190422102539345	0.23686144076778903	0.40154849211706023
