tier	order	tool	threads	repeat	input_set	cache
0	1	checkm2_vectors	32	1	set_E_100	warm
1	2	magicc	32	1	set_E_100	warm
1	3	magicc	1	1	set_E_100	warm
1	4	magicc	32	1	set_E_full	warm
1	5	deepcheck	32	1	set_E_full	warm
1	6	magicc	1	1	set_E_full	warm
1	7	magicc	16	1	set_E_full	warm
1	8	deepcheck	16	1	set_E_100	warm
1	9	magicc	16	1	set_E_100	warm
1	10	deepcheck	1	1	set_E_100	warm
1	11	deepcheck	32	1	set_E_100	warm
1	12	deepcheck	16	1	set_E_full	warm
1	13	magicc	8	1	set_E_full	warm
1	14	deepcheck	8	1	set_E_100	warm
1	15	deepcheck	1	1	set_E_full	warm
1	16	deepcheck	8	1	set_E_full	warm
1	17	magicc	8	1	set_E_100	warm
1	18	magicc	8	2	set_E_full	warm
1	19	deepcheck	32	2	set_E_full	warm
1	20	deepcheck	16	2	set_E_100	warm
1	21	deepcheck	16	2	set_E_full	warm
1	22	magicc	32	2	set_E_100	warm
1	23	magicc	32	2	set_E_full	warm
1	24	deepcheck	8	2	set_E_100	warm
1	25	magicc	1	2	set_E_full	warm
1	26	deepcheck	1	2	set_E_full	warm
1	27	deepcheck	32	2	set_E_100	warm
1	28	magicc	1	2	set_E_100	warm
1	29	magicc	16	2	set_E_full	warm
1	30	magicc	8	2	set_E_100	warm
1	31	deepcheck	1	2	set_E_100	warm
1	32	magicc	16	2	set_E_100	warm
1	33	deepcheck	8	2	set_E_full	warm
1	34	deepcheck	1	3	set_E_full	warm
1	35	magicc	16	3	set_E_100	warm
1	36	deepcheck	16	3	set_E_100	warm
1	37	magicc	32	3	set_E_100	warm
1	38	magicc	1	3	set_E_full	warm
1	39	deepcheck	8	3	set_E_100	warm
1	40	deepcheck	32	3	set_E_full	warm
1	41	deepcheck	16	3	set_E_full	warm
1	42	deepcheck	8	3	set_E_full	warm
1	43	magicc	32	3	set_E_full	warm
1	44	magicc	16	3	set_E_full	warm
1	45	deepcheck	32	3	set_E_100	warm
1	46	magicc	8	3	set_E_100	warm
1	47	magicc	1	3	set_E_100	warm
1	48	deepcheck	1	3	set_E_100	warm
1	49	magicc	8	3	set_E_full	warm
2	50	checkm2	8	1	set_E_100	warm
2	51	checkm2	16	1	set_E_100	warm
2	52	cocopye	32	1	set_E_100	warm
2	53	cocopye	16	1	set_E_100	warm
2	54	checkm2	32	1	set_E_100	warm
2	55	cocopye	8	1	set_E_100	warm
2	56	checkm2	16	2	set_E_100	warm
2	57	cocopye	32	2	set_E_100	warm
2	58	cocopye	8	2	set_E_100	warm
2	59	checkm2	8	2	set_E_100	warm
2	60	cocopye	16	2	set_E_100	warm
2	61	checkm2	32	2	set_E_100	warm
2	62	cocopye	16	3	set_E_100	warm
2	63	checkm2	32	3	set_E_100	warm
2	64	checkm2	8	3	set_E_100	warm
2	65	cocopye	32	3	set_E_100	warm
2	66	cocopye	8	3	set_E_100	warm
2	67	checkm2	16	3	set_E_100	warm
3	68	checkm2	32	1	set_E_full	warm
3	69	cocopye	32	1	set_E_full	warm
4	70	cocopye	32	1	set_E_100	cold
4	71	deepcheck	1	1	set_E_100	cold
4	72	magicc	1	1	set_E_full	cold
4	73	magicc	32	1	set_E_full	cold
4	74	checkm2	32	1	set_E_100	cold
4	75	deepcheck	1	2	set_E_100	cold
4	76	magicc	32	2	set_E_full	cold
4	77	magicc	1	2	set_E_full	cold
4	78	magicc	32	3	set_E_full	cold
4	79	deepcheck	1	3	set_E_100	cold
4	80	magicc	1	3	set_E_full	cold
5	81	magicc_condarun	1	4	set_E_full	warm
5	82	magicc	1	4	set_E_full	warm
5	83	magicc	1	5	set_E_full	warm
5	84	magicc_condarun	1	5	set_E_full	warm
5	85	magicc_condarun	1	6	set_E_full	warm
5	86	magicc	1	6	set_E_full	warm
6	87	checkm2	1	1	set_E_100	warm
6	88	cocopye	1	1	set_E_100	warm
6	89	checkm2	1	2	set_E_100	warm
6	90	cocopye	1	2	set_E_100	warm
6	91	cocopye	1	3	set_E_100	warm
6	92	checkm2	1	3	set_E_100	warm
