dataset	binset	tool	n	n_true_HQ	n_pred_HQ	HQ_agreement	HQ_sensitivity	HQ_precision	MQ_agreement	n_true_contaminated_ge5pct	false_clean_rate_at_5pct	false_fail_rate_at_5pct	threshold_note	denominator
marine	gold	MAGICC_V5	339	139	118	0.8790560471976401	0.7769784172661871	0.9152542372881356	0.9793510324483776	0		0.05309734513274336	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	CheckM2	339	139	93	0.8643067846607669	0.6690647482014388	1.0	0.6076696165191741	0		0.12979351032448377	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	CoCoPyE	339	139	79	0.8230088495575221	0.5683453237410072	1.0	0.2861356932153392	0		0.7669616519174042	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	DeepCheck	339	139	93	0.8643067846607669	0.6690647482014388	1.0	0.5781710914454278	0		0.16224188790560473	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	MAGICC_V5	864	55	185	0.7986111111111112	0.6	0.1783783783783784	0.6111111111111112	706	0.5325779036827195	0.12658227848101267	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	CheckM2	864	55	91	0.8888888888888888	0.45454545454545453	0.27472527472527475	0.5370370370370371	706	0.4263456090651558	0.189873417721519	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	CoCoPyE	864	55	30	0.9432870370370371	0.32727272727272727	0.6	0.7164351851851852	706	0.021246458923512748	0.7278481012658228	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	DeepCheck	864	55	117	0.8587962962962963	0.45454545454545453	0.21367521367521367	0.4849537037037037	706	0.4631728045325779	0.11392405063291139	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	gold	MAGICC_V5	700	277	252	0.9585714285714285	0.9025270758122743	0.9920634920634921	0.9985714285714286	0		0.002857142857142857	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	gold	CheckM2	700	277	176	0.8557142857142858	0.6353790613718412	1.0	0.64	0		0.19	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
